"Código","Unidade Territorial","UF","Referência","Municípios elegíveis para adesão ao Programa Crianca Feliz"
"120001","ACRELÂNDIA","AC","07/2019","1"
"120001","ACRELÂNDIA","AC","02/2019","1"
"120001","ACRELÂNDIA","AC","05/2019","1"
"120001","ACRELÂNDIA","AC","10/2018","1"
"120001","ACRELÂNDIA","AC","01/2019","1"
"120001","ACRELÂNDIA","AC","11/2018","1"
"120001","ACRELÂNDIA","AC","06/2019","1"
"120001","ACRELÂNDIA","AC","08/2019","1"
"120001","ACRELÂNDIA","AC","04/2019","1"
"120001","ACRELÂNDIA","AC","12/2018","1"
"120001","ACRELÂNDIA","AC","03/2019","1"
"120001","ACRELÂNDIA","AC","09/2019","1"
"120001","ACRELÂNDIA","AC","10/2019","1"
"120001","ACRELÂNDIA","AC","09/2018","1"
"120005","ASSIS BRASIL","AC","11/2018","1"
"120005","ASSIS BRASIL","AC","07/2019","1"
"120005","ASSIS BRASIL","AC","10/2019","1"
"120005","ASSIS BRASIL","AC","04/2019","1"
"120005","ASSIS BRASIL","AC","08/2019","1"
"120005","ASSIS BRASIL","AC","03/2019","1"
"120005","ASSIS BRASIL","AC","02/2019","1"
"120005","ASSIS BRASIL","AC","05/2019","1"
"120005","ASSIS BRASIL","AC","09/2019","1"
"120005","ASSIS BRASIL","AC","10/2018","1"
"120005","ASSIS BRASIL","AC","12/2018","1"
"120005","ASSIS BRASIL","AC","06/2019","1"
"120005","ASSIS BRASIL","AC","01/2019","1"
"120005","ASSIS BRASIL","AC","09/2018","1"
"120010","BRASILÉIA","AC","08/2019","1"
"120010","BRASILÉIA","AC","09/2019","1"
"120010","BRASILÉIA","AC","01/2019","1"
"120010","BRASILÉIA","AC","10/2019","1"
"120010","BRASILÉIA","AC","06/2019","1"
"120010","BRASILÉIA","AC","12/2018","1"
"120010","BRASILÉIA","AC","10/2018","1"
"120010","BRASILÉIA","AC","07/2019","1"
"120010","BRASILÉIA","AC","03/2019","1"
"120010","BRASILÉIA","AC","04/2019","1"
"120010","BRASILÉIA","AC","09/2018","1"
"120010","BRASILÉIA","AC","02/2019","1"
"120010","BRASILÉIA","AC","05/2019","1"
"120010","BRASILÉIA","AC","11/2018","1"
"120013","BUJARI","AC","08/2019","1"
"120013","BUJARI","AC","09/2018","1"
"120013","BUJARI","AC","03/2019","1"
"120013","BUJARI","AC","02/2019","1"
"120013","BUJARI","AC","11/2018","1"
"120013","BUJARI","AC","12/2018","1"
"120013","BUJARI","AC","10/2018","1"
"120013","BUJARI","AC","07/2019","1"
"120013","BUJARI","AC","04/2019","1"
"120013","BUJARI","AC","01/2019","1"
"120013","BUJARI","AC","06/2019","1"
"120013","BUJARI","AC","09/2019","1"
"120013","BUJARI","AC","10/2019","1"
"120013","BUJARI","AC","05/2019","1"
"120017","CAPIXABA","AC","03/2019","1"
"120017","CAPIXABA","AC","02/2019","1"
"120017","CAPIXABA","AC","06/2019","1"
"120017","CAPIXABA","AC","10/2018","1"
"120017","CAPIXABA","AC","07/2019","1"
"120017","CAPIXABA","AC","04/2019","1"
"120017","CAPIXABA","AC","10/2019","1"
"120017","CAPIXABA","AC","09/2018","1"
"120017","CAPIXABA","AC","08/2019","1"
"120017","CAPIXABA","AC","11/2018","1"
"120017","CAPIXABA","AC","05/2019","1"
"120017","CAPIXABA","AC","12/2018","1"
"120017","CAPIXABA","AC","01/2019","1"
"120017","CAPIXABA","AC","09/2019","1"
"120020","CRUZEIRO DO SUL","AC","11/2018","1"
"120020","CRUZEIRO DO SUL","AC","03/2019","1"
"120020","CRUZEIRO DO SUL","AC","06/2019","1"
"120020","CRUZEIRO DO SUL","AC","10/2019","1"
"120020","CRUZEIRO DO SUL","AC","01/2019","1"
"120020","CRUZEIRO DO SUL","AC","12/2018","1"
"120020","CRUZEIRO DO SUL","AC","07/2019","1"
"120020","CRUZEIRO DO SUL","AC","05/2019","1"
"120020","CRUZEIRO DO SUL","AC","09/2018","1"
"120020","CRUZEIRO DO SUL","AC","09/2019","1"
"120020","CRUZEIRO DO SUL","AC","04/2019","1"
"120020","CRUZEIRO DO SUL","AC","08/2019","1"
"120020","CRUZEIRO DO SUL","AC","02/2019","1"
"120020","CRUZEIRO DO SUL","AC","10/2018","1"
"120025","EPITACIOLÂNDIA","AC","02/2019","1"
"120025","EPITACIOLÂNDIA","AC","11/2018","1"
"120025","EPITACIOLÂNDIA","AC","04/2019","1"
"120025","EPITACIOLÂNDIA","AC","09/2018","1"
"120025","EPITACIOLÂNDIA","AC","07/2019","1"
"120025","EPITACIOLÂNDIA","AC","08/2019","1"
"120025","EPITACIOLÂNDIA","AC","03/2019","1"
"120025","EPITACIOLÂNDIA","AC","05/2019","1"
"120025","EPITACIOLÂNDIA","AC","10/2019","1"
"120025","EPITACIOLÂNDIA","AC","10/2018","1"
"120025","EPITACIOLÂNDIA","AC","12/2018","1"
"120025","EPITACIOLÂNDIA","AC","01/2019","1"
"120025","EPITACIOLÂNDIA","AC","06/2019","1"
"120025","EPITACIOLÂNDIA","AC","09/2019","1"
"120030","FEIJÓ","AC","10/2019","1"
"120030","FEIJÓ","AC","01/2019","1"
"120030","FEIJÓ","AC","02/2019","1"
"120030","FEIJÓ","AC","09/2018","1"
"120030","FEIJÓ","AC","10/2018","1"
"120030","FEIJÓ","AC","09/2019","1"
"120030","FEIJÓ","AC","08/2019","1"
"120030","FEIJÓ","AC","11/2018","1"
"120030","FEIJÓ","AC","06/2019","1"
"120030","FEIJÓ","AC","12/2018","1"
"120030","FEIJÓ","AC","03/2019","1"
"120030","FEIJÓ","AC","07/2019","1"
"120030","FEIJÓ","AC","05/2019","1"
"120030","FEIJÓ","AC","04/2019","1"
"120032","JORDÃO","AC","09/2018","1"
"120032","JORDÃO","AC","07/2019","1"
"120032","JORDÃO","AC","09/2019","1"
"120032","JORDÃO","AC","03/2019","1"
"120032","JORDÃO","AC","02/2019","1"
"120032","JORDÃO","AC","10/2018","1"
"120032","JORDÃO","AC","12/2018","1"
"120032","JORDÃO","AC","10/2019","1"
"120032","JORDÃO","AC","05/2019","1"
"120032","JORDÃO","AC","08/2019","1"
"120032","JORDÃO","AC","06/2019","1"
"120032","JORDÃO","AC","11/2018","1"
"120032","JORDÃO","AC","01/2019","1"
"120032","JORDÃO","AC","04/2019","1"
"120033","MÂNCIO LIMA","AC","11/2018","1"
"120033","MÂNCIO LIMA","AC","09/2018","1"
"120033","MÂNCIO LIMA","AC","09/2019","1"
"120033","MÂNCIO LIMA","AC","04/2019","1"
"120033","MÂNCIO LIMA","AC","05/2019","1"
"120033","MÂNCIO LIMA","AC","06/2019","1"
"120033","MÂNCIO LIMA","AC","02/2019","1"
"120033","MÂNCIO LIMA","AC","01/2019","1"
"120033","MÂNCIO LIMA","AC","10/2018","1"
"120033","MÂNCIO LIMA","AC","03/2019","1"
"120033","MÂNCIO LIMA","AC","07/2019","1"
"120033","MÂNCIO LIMA","AC","10/2019","1"
"120033","MÂNCIO LIMA","AC","12/2018","1"
"120033","MÂNCIO LIMA","AC","08/2019","1"
"120034","MANOEL URBANO","AC","01/2019","1"
"120034","MANOEL URBANO","AC","08/2019","1"
"120034","MANOEL URBANO","AC","05/2019","1"
"120034","MANOEL URBANO","AC","09/2019","1"
"120034","MANOEL URBANO","AC","10/2018","1"
"120034","MANOEL URBANO","AC","09/2018","1"
"120034","MANOEL URBANO","AC","10/2019","1"
"120034","MANOEL URBANO","AC","02/2019","1"
"120034","MANOEL URBANO","AC","07/2019","1"
"120034","MANOEL URBANO","AC","11/2018","1"
"120034","MANOEL URBANO","AC","03/2019","1"
"120034","MANOEL URBANO","AC","12/2018","1"
"120034","MANOEL URBANO","AC","04/2019","1"
"120034","MANOEL URBANO","AC","06/2019","1"
"120035","MARECHAL THAUMATURGO","AC","11/2018","1"
"120035","MARECHAL THAUMATURGO","AC","10/2019","1"
"120035","MARECHAL THAUMATURGO","AC","09/2019","1"
"120035","MARECHAL THAUMATURGO","AC","04/2019","1"
"120035","MARECHAL THAUMATURGO","AC","12/2018","1"
"120035","MARECHAL THAUMATURGO","AC","05/2019","1"
"120035","MARECHAL THAUMATURGO","AC","09/2018","1"
"120035","MARECHAL THAUMATURGO","AC","10/2018","1"
"120035","MARECHAL THAUMATURGO","AC","06/2019","1"
"120035","MARECHAL THAUMATURGO","AC","01/2019","1"
"120035","MARECHAL THAUMATURGO","AC","08/2019","1"
"120035","MARECHAL THAUMATURGO","AC","02/2019","1"
"120035","MARECHAL THAUMATURGO","AC","07/2019","1"
"120035","MARECHAL THAUMATURGO","AC","03/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","06/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","05/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","12/2018","1"
"120038","PLÁCIDO DE CASTRO","AC","08/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","10/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","04/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","03/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","02/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","11/2018","1"
"120038","PLÁCIDO DE CASTRO","AC","09/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","01/2019","1"
"120038","PLÁCIDO DE CASTRO","AC","10/2018","1"
"120038","PLÁCIDO DE CASTRO","AC","09/2018","1"
"120038","PLÁCIDO DE CASTRO","AC","07/2019","1"
"120039","PORTO WALTER","AC","01/2019","1"
"120039","PORTO WALTER","AC","08/2019","1"
"120039","PORTO WALTER","AC","10/2018","1"
"120039","PORTO WALTER","AC","04/2019","1"
"120039","PORTO WALTER","AC","11/2018","1"
"120039","PORTO WALTER","AC","02/2019","1"
"120039","PORTO WALTER","AC","09/2019","1"
"120039","PORTO WALTER","AC","05/2019","1"
"120039","PORTO WALTER","AC","10/2019","1"
"120039","PORTO WALTER","AC","09/2018","1"
"120039","PORTO WALTER","AC","06/2019","1"
"120039","PORTO WALTER","AC","03/2019","1"
"120039","PORTO WALTER","AC","12/2018","1"
"120039","PORTO WALTER","AC","07/2019","1"
"120040","RIO BRANCO","AC","11/2018","1"
"120040","RIO BRANCO","AC","04/2019","1"
"120040","RIO BRANCO","AC","05/2019","1"
"120040","RIO BRANCO","AC","07/2019","1"
"120040","RIO BRANCO","AC","09/2019","1"
"120040","RIO BRANCO","AC","12/2018","1"
"120040","RIO BRANCO","AC","10/2018","1"
"120040","RIO BRANCO","AC","06/2019","1"
